Country,Continent,CorruptionControl,GovEffectiveness,PoliticalStability,RegulatoryQuality,RuleLaw,VoiceAccountability
Italy,Europe,0.0464959852397442,0.521717190742493,0.35258737206459,0.710581481456757,0.265291482210159,1.03629624843597
Jamaica,North America,-0.160900950431824,0.41215443611145,0.242776766419411,0.163832545280457,-0.251835763454437,0.685919404029846
Japan,Asia,1.51102674007416,1.83235287666321,1.00827598571777,1.42820978164673,1.37756633758545,1.00122117996216
"Jersey, Channel Islands",Europe,1.14184963703156,1.27511870861053,1.31910979747772,0.698701679706573,1.73632884025574,1.26906669139862
Jordan,Asia,0.268876373767853,0.13606396317482,-0.533168256282806,0.051669891923666,0.313855677843094,-0.755413174629211
Kazakhstan,Europe,-0.804642558097839,-0.0607126727700233,0.0446353144943714,-0.0998564511537552,-0.417186588048935,-1.28884088993073
Kenya,Africa,-0.897414803504944,-0.314097195863724,-1.32748818397522,-0.300370424985886,-0.530303478240967,-0.147070869803429
Kiribati,Oceania,0.248799219727516,-0.44592821598053,0.866864621639252,-0.838994562625885,0.211863026022911,1.03422045707703
"Korea, Dem. People’s Rep.",Asia,-1.44958972930908,-1.64748001098633,-0.710825681686401,-2.3319296836853,-1.63240993022919,-2.1323139667511
"Korea, Rep.",Asia,0.372360110282898,1.07007157802582,0.171203106641769,1.11430299282074,1.14164233207703,0.625162184238434
Kuwait,Asia,-0.20402529835701,-0.18044488132,-0.147371500730515,-0.0738063901662827,0.0326305031776428,-0.694389700889587
Kyrgyz Republic,Asia,-1.07852447032928,-0.898510694503784,-0.655584692955017,-0.352723449468613,-1.09529089927673,-0.489857703447342
Lao PDR,Asia,-0.930260360240936,-0.385475516319275,0.499417662620544,-0.725071310997009,-0.765127241611481,-1.72922110557556
Latvia,Europe,0.491258174180985,0.99773508310318,0.391611039638519,1.08019542694092,0.950072050094604,0.870986759662628
Lebanon,Asia,-0.966358184814453,-0.528524875640869,-1.55500912666321,-0.343141108751297,-0.858584702014923,-0.522965550422668
Lesotho,Africa,-0.0193857587873936,-0.804588198661804,-0.252483040094376,-0.387630224227905,-0.177290052175522,0.0340431928634644
Liberia,Africa,-0.713470160961151,-1.31946659088135,-0.546739459037781,-0.948523163795471,-0.967626333236694,-0.0950270220637321
Libya,Africa,-1.56890165805817,-1.8914737701416,-2.20801758766174,-2.27425861358643,-1.86877417564392,-1.3728095293045
Liechtenstein,Europe,2.05113506317139,1.70124363899231,1.46233880519867,1.37274646759033,1.67767417430878,1.18799638748169
Lithuania,Europe,0.665678024291992,1.08632183074951,0.798876643180847,1.13616549968719,1.02187919616699,0.98639839887619
Luxembourg,Europe,2.07630157470703,1.69212710857391,1.40701079368591,1.72225940227509,1.71460390090942,1.43676674365997
"Macao SAR, China",Asia,0.833075344562531,1.17795729637146,1.41510915756226,1.78144979476929,0.827039062976837,-0.0559072494506836
"Macedonia, FYR",Europe,-0.30718868970871,0.094409391283989,-0.382267683744431,0.440831452608109,-0.312175273895264,-0.234150171279907
Madagascar,Africa,-0.903342247009277,-1.16646146774292,-0.397052109241486,-0.6897794008255,-0.73554253578186,-0.269111484289169
Malawi,Africa,-0.752990245819092,-0.734152972698212,-0.0591660253703594,-0.844843208789825,-0.371317267417908,0.0359685905277729
Malaysia,Asia,0.111187063157558,0.881595492362976,0.100645072758198,0.711715161800385,0.535256743431091,-0.467914581298828
Maldives,Asia,-0.674275994300842,-0.326829999685287,0.407542526721954,-0.458117961883545,-0.407949388027191,-0.736969649791718
Mali,Africa,-0.667385697364807,-0.990040957927704,-1.54750943183899,-0.590899646282196,-0.779735863208771,-0.182141661643982
Malta,Europe,0.717921912670136,0.947682857513428,1.07802605628967,1.15693068504333,1.07517290115356,1.19957900047302
Marshall Islands,Oceania,-0.0594031363725662,-1.55982077121735,0.927389860153198,-0.976266860961914,-0.0961682721972466,1.20333790779114
Martinique,North America,1.23034083843231,0.797217607498169,0.998822271823883,1.23878955841064,0.856716096401215,
Mauritania,Africa,-0.801491796970367,-0.787193357944489,-0.735730767250061,-0.743026971817017,-0.77746319770813,-0.830524623394012
Mauritius,Africa,0.318622589111328,0.958205819129944,1.04753482341766,1.02964019775391,0.802414953708649,0.86417293548584
Mexico,North America,-0.766181826591492,0.144786760210991,-0.765679061412811,0.287015408277512,-0.503426969051361,-0.0885976478457451
"Micronesia, Fed. Sts.",Oceania,0.653046071529388,-0.349572777748108,1.04967868328094,-0.966066122055054,-0.0604708753526211,1.15924096107483
Moldova,Europe,-0.959396839141846,-0.616518259048462,-0.276612102985382,-0.115019887685776,-0.5357985496521,-0.0326086655259132
Monaco,Europe,,,1.00027680397034,,,0.846888303756714
Mongolia,Asia,-0.499716311693192,-0.109448112547398,0.820218563079834,-0.0764399617910385,-0.223171457648277,0.450091898441315
Montenegro,Europe,-0.100332848727703,0.104373753070831,0.156316861510277,0.224384620785713,-0.0423917360603809,0.0849808901548386
